"","CODIGO","DCS_avg","IHD_avg","CVD_avg","DM_avg","int_dens","int_dens_2","slope_mean","NDVI_mean","lu_entropy_a","p_area_ind","sl_p_ind","POI_dens","POI_dens_2","pdens_2017","pdens_2_t","f_hig_SES"
"42","0407",185.60629188032,103.778503867958,10.2027027027027,35.277124017391,207.455375158738,43037.7326822529,4.49207611083984,0.265922394809344,0.585095486230185,38.7176225173147,22.4463717407803,118.463,14033.482369,11046.6397199241,122.028249101806,0
"43","0408",209.195666474932,84.957916442914,51.9841165275948,27.7945441776979,130.317809106972,16982.7313704412,7.80147000016837,0.216075967859339,0.698371504014972,0,9.67940562932868,24.417,596.189889,17649.6998031051,311.511903139729,0
"44","0409",192.996892665665,99.9124407223895,16.7870992247678,22.5394397300687,140.781187045109,19819.3426258298,12.5005835556402,0.250330116543068,0.759939115292064,0,0,47.832,2287.900224,26785.8210280552,717.480208147003,0
"45","0410",188.556632627026,68.8341898801083,38.310875901401,5.34256183093392,134.50184995519,18090.7476413683,13.5217798406428,0.225484741802077,0.710933275523591,0,0,24.193,585.301249,34346.3320306879,1179.67052396226,0
"46","0411",153.538817240343,59.487820740553,12.6098901098901,0,189.976466417833,36091.0577926059,15.462838565602,0.227789159406695,0.775175888467282,0,0,78.555,6170.888025,40842.2586280941,1668.09008984412,0
"47","0412",186.779997661563,65.1190754593954,35.248115328291,4.90322580645161,119.817763587016,14356.2964709942,12.3027757917132,0.255168525540099,0.737810737834098,0,0,9.21,84.8241,38466.5785897298,1479.67766839986,0
"48","0413",161.49532040575,77.3792671941522,23.7758204582341,9.40133385136371,163.564768499768,26753.4334943827,7.75444412231445,0.296658294753838,0.851098588894371,0,0,52.636,2770.548496,29612.0675372445,876.874543830327,0
"49","0414",99.0643956797206,35.480360248463,24.0101126393509,14.9228228262287,155.992392079253,24333.6263866074,11.5210960388184,0.238855673665815,0.716358988495193,0,0,27.509,756.745081,37775.4942742633,1426.9879676649,0
"50","0415",88.1636309819548,36.630427555856,20.8757488432157,0,160.794628812258,25854.912654872,9.01487901475694,0.213954240083694,0.805285084600934,0,0,34.742,1207.006564,32948.3805577821,1085.59578138043,0
"51","0501",80.1993131137875,31.170244872124,20.4755633596722,7.40196078431372,193.295031478708,37362.9691943547,11.1411021839489,0.310911078202097,0.80900563332297,3.27094917468777,1.03910658396137,24.145,582.981025,34941.0272550947,1220.87538564127,0
"52","0502",57.2626197189556,27.1483842239186,8.32529571556289,4.10810810810811,122.733569384354,15063.529053824,13.0786851671007,0.472357993478707,0.850807037261476,5.06040725200689,11.0226421000129,15.997,255.904009,27230.3270239095,741.490709829057,0
"53","0503",120.024534995835,44.264274867328,24.7479069927035,4.56173226061423,174.272507155436,30370.9067502416,13.3918790817261,0.30548723319984,0.880648733688486,0,8.71434609433942,17.074,291.521476,52275.7620787845,2732.75530091769,0
"54","0504",143.841015102948,60.6388185214995,39.4178501789859,8.16837168451189,172.764359793383,29847.5240148175,13.0655136108398,0.285012067374537,0.697276338242823,0,6.6545426745845,49.664,2466.512896,37011.8352662857,1369.87594977867,0
